id,name,location,station_type,power_kw,price_per_kwh,service_fee,status,install_date,operator_name,contact_phone,total_sessions,total_energy_kwh,total_income,latitude,longitude,remark
1,双枪充电-0001号桩,西安邮电大学东区,双枪充电,224.0,1.37,0.66,0,2024-05-19,云快充,029-5258-4065,146,10138.24,20580.63,34.237503,108.932503,东区体育场停车场
2,双枪充电-0002号桩,西安邮电大学西区,双枪充电,140.0,1.03,0.33,0,2021-07-19,特来电,029-6656-1032,275,16555.00,22514.80,34.242802,108.925102,西区1号停车场
3,直流快充-0003号桩,西安邮电大学雁塔校区,直流快充,78.0,1.05,0.37,0,2025-03-18,特来电,029-9992-7465,208,12492.48,17739.32,34.220402,108.955803,雁塔校区南门停车场
4,交流慢充-0004号桩,西安邮电大学东区,交流慢充,19.0,1.55,0.48,0,2024-12-27,特来电,029-4355-5657,533,5266.04,10690.06,34.240704,108.931305,东区A区停车场
5,交流慢充-0005号桩,西安邮电大学西区,交流慢充,9.0,1.23,0.34,0,2021-08-08,星星充电,029-8225-7182,462,2120.58,3329.31,34.242500,108.928001,西区宿舍停车场
6,双枪充电-0006号桩,西安邮电大学雁塔校区,双枪充电,202.0,1.33,0.45,0,2023-08-22,校园能源管理中心,029-9107-6139,217,13588.54,24187.60,34.223701,108.961403,雁塔校区实验楼停车场
7,交流慢充-0007号桩,西安邮电大学东区,交流慢充,12.0,0.87,0.33,1,2021-01-13,星星充电,029-0395-8567,235,874.20,1049.04,34.236702,108.929298,东区行政楼停车场
8,直流快充-0008号桩,西安邮电大学西区,直流快充,160.0,1.09,0.63,0,2024-03-23,星星充电,029-4394-2918,186,19641.60,33783.55,34.242702,108.927406,西区行政楼停车场
9,直流快充-0009号桩,西安邮电大学雁塔校区,直流快充,94.0,1.17,0.41,0,2023-08-21,国家电网,029-0256-6077,481,17181.32,27146.49,34.228802,108.959702,雁塔校区学生服务中心
10,直流快充-0010号桩,西安邮电大学东区,直流快充,92.0,1.23,0.64,1,2021-01-23,国家电网,029-7007-2769,285,20713.80,38734.80,34.241001,108.927505,东区图书馆停车场
11,直流快充-0011号桩,西安邮电大学西区,直流快充,178.0,1.25,0.59,0,2021-07-12,国家电网,029-0407-4343,269,17716.34,32598.07,34.233803,108.929100,西区实验楼停车场
12,直流快充-0012号桩,西安邮电大学雁塔校区,直流快充,69.0,0.87,0.38,1,2023-07-18,校园能源管理中心,029-4282-5413,285,9635.85,12044.81,34.225201,108.959602,雁塔校区实验楼停车场
13,直流快充-0013号桩,西安邮电大学东区,直流快充,153.0,1.35,0.48,0,2025-01-13,星星充电,029-5689-2638,105,6586.65,12053.57,34.242302,108.927101,东区A区停车场
14,直流快充-0014号桩,西安邮电大学西区,直流快充,71.0,1.21,0.34,2,2022-03-12,星星充电,029-9636-9673,280,6958.00,10784.90,34.241100,108.928207,西区宿舍停车场
15,直流快充-0015号桩,西安邮电大学雁塔校区,直流快充,162.0,1.07,0.38,0,2022-10-05,特来电,029-7021-7642,141,11877.84,17222.87,34.221600,108.962601,雁塔校区南门停车场
16,交流慢充-0016号桩,西安邮电大学东区,交流慢充,18.0,1.54,0.36,2,2021-02-01,校园能源管理中心,029-1492-7318,54,524.88,997.27,34.233402,108.934303,东区图书馆停车场
17,直流快充-0017号桩,西安邮电大学西区,直流快充,155.0,1.45,0.69,0,2025-01-28,云快充,029-1403-7906,161,18217.15,38984.70,34.235001,108.925201,西区行政楼停车场
18,交流慢充-0018号桩,西安邮电大学雁塔校区,交流慢充,12.0,1.28,0.51,2,2022-12-08,校园能源管理中心,029-4355-9219,321,2157.12,3861.24,34.226402,108.961502,雁塔校区地下停车场
19,交流慢充-0019号桩,西安邮电大学东区,交流慢充,7.0,1.14,0.47,0,2025-04-18,校园能源管理中心,029-6380-2158,331,1065.82,1715.97,34.240902,108.933502,东区行政楼停车场
20,双枪充电-0020号桩,西安邮电大学西区,双枪充电,199.0,0.84,0.57,1,2021-06-15,国家电网,029-1575-6425,374,34980.22,49322.12,34.234303,108.930603,西区2号停车场
21,直流快充-0021号桩,西安邮电大学雁塔校区,直流快充,64.0,1.48,0.58,0,2022-10-07,国家电网,029-4503-1000,86,1706.24,3514.85,34.224602,108.955803,雁塔校区北门停车场
22,直流快充-0022号桩,西安邮电大学东区,直流快充,111.0,1.11,0.60,0,2023-10-28,特来电,029-5978-4623,575,33189.00,56753.19,34.239403,108.931404,东区图书馆停车场
23,直流快充-0023号桩,西安邮电大学西区,直流快充,152.0,1.44,0.48,0,2025-11-06,国家电网,029-9940-7973,440,52166.40,100159.49,34.237202,108.927505,西区2号停车场
24,双枪充电-0024号桩,西安邮电大学雁塔校区,双枪充电,157.0,1.19,0.53,0,2024-10-20,星星充电,029-4772-6910,4,200.96,345.65,34.224400,108.956902,雁塔校区实验楼停车场
25,双枪充电-0025号桩,西安邮电大学东区,双枪充电,121.0,1.27,0.47,1,2021-03-21,云快充,029-4635-5728,337,26097.28,45409.27,34.235401,108.936600,东区行政楼停车场
26,交流慢充-0026号桩,西安邮电大学西区,交流慢充,21.0,1.50,0.52,0,2024-12-18,国家电网,029-7403-1022,565,8068.20,16297.76,34.234802,108.933907,西区行政楼停车场
27,双枪充电-0027号桩,西安邮电大学雁塔校区,双枪充电,170.0,1.20,0.31,0,2024-10-02,星星充电,029-3845-4319,579,48230.70,72828.35,34.225903,108.954002,雁塔校区北门停车场
28,交流慢充-0028号桩,西安邮电大学东区,交流慢充,8.0,0.98,0.49,0,2024-10-16,星星充电,029-9401-2102,521,3167.68,4656.49,34.233902,108.928200,东区B区停车场
29,交流慢充-0029号桩,西安邮电大学西区,交流慢充,14.0,1.30,0.58,1,2021-05-10,特来电,029-6137-1210,355,1739.50,3270.26,34.234600,108.930901,西区宿舍停车场
30,直流快充-0030号桩,西安邮电大学雁塔校区,直流快充,97.0,1.01,0.43,1,2022-11-04,校园能源管理中心,029-2373-7167,224,9560.32,13766.86,34.223000,108.959000,雁塔校区地下停车场
31,直流快充-0031号桩,西安邮电大学东区,直流快充,147.0,1.19,0.46,0,2023-02-24,星星充电,029-5087-8506,116,5968.20,9847.53,34.239201,108.927902,东区B区停车场
32,直流快充-0032号桩,西安邮电大学西区,直流快充,178.0,1.33,0.52,1,2021-03-15,星星充电,029-5704-3408,219,12474.24,23077.35,34.234901,108.925102,西区实验楼停车场
33,双枪充电-0033号桩,西安邮电大学雁塔校区,双枪充电,213.0,1.26,0.37,2,2021-02-18,国家电网,029-8656-8487,363,32473.98,52932.59,34.224602,108.962105,雁塔校区地下停车场
34,双枪充电-0034号桩,西安邮电大学东区,双枪充电,190.0,1.24,0.58,0,2024-05-25,国家电网,029-9321-2658,138,19927.20,36267.50,34.241703,108.928604,东区体育场停车场
35,直流快充-0035号桩,西安邮电大学西区,直流快充,143.0,1.42,0.45,2,2023-01-06,星星充电,029-7043-9768,363,38412.66,71831.68,34.238003,108.930504,西区实验楼停车场
36,交流慢充-0036号桩,西安邮电大学雁塔校区,交流慢充,20.0,0.97,0.46,0,2022-11-02,校园能源管理中心,029-9232-4157,308,1848.00,2642.64,34.228703,108.954399,雁塔校区学生服务中心
37,直流快充-0037号桩,西安邮电大学东区,直流快充,153.0,0.81,0.63,1,2025-12-22,云快充,029-3761-9446,34,3329.28,4794.16,34.241901,108.936203,东区A区停车场
38,交流慢充-0038号桩,西安邮电大学西区,交流慢充,7.0,1.08,0.40,0,2022-04-06,星星充电,029-4758-6248,10,51.10,75.63,34.233902,108.930901,西区2号停车场
39,双枪充电-0039号桩,西安邮电大学雁塔校区,双枪充电,208.0,1.10,0.66,0,2021-01-24,国家电网,029-1168-8184,320,47257.60,83173.38,34.225700,108.962402,雁塔校区地下停车场
40,交流慢充-0040号桩,西安邮电大学东区,交流慢充,21.0,1.17,0.63,0,2024-04-16,云快充,029-0225-2987,283,4635.54,8343.97,34.233902,108.932701,东区图书馆停车场
41,直流快充-0041号桩,西安邮电大学西区,直流快充,170.0,0.93,0.40,2,2021-06-08,星星充电,029-9402-2359,190,10659.00,14176.47,34.237900,108.925102,西区1号停车场
42,直流快充-0042号桩,西安邮电大学雁塔校区,直流快充,122.0,0.84,0.53,0,2022-11-21,特来电,029-1580-0303,192,14522.88,19896.35,34.228500,108.957306,雁塔校区学生服务中心
43,双枪充电-0043号桩,西安邮电大学东区,双枪充电,126.0,1.50,0.63,0,2025-10-16,云快充,029-6375-7450,236,19625.76,41802.87,34.239403,108.930405,东区A区停车场
44,双枪充电-0044号桩,西安邮电大学西区,双枪充电,124.0,1.29,0.64,0,2021-02-21,国家电网,029-9772-5996,288,13927.68,26880.42,34.234100,108.928902,西区1号停车场
45,交流慢充-0045号桩,西安邮电大学雁塔校区,交流慢充,16.0,1.29,0.32,0,2023-12-22,特来电,029-1613-1882,505,6383.20,10276.95,34.220802,108.963699,雁塔校区北门停车场
46,交流慢充-0046号桩,西安邮电大学东区,交流慢充,21.0,1.16,0.41,0,2023-11-24,国家电网,029-9067-0809,484,5285.28,8297.89,34.234901,108.934700,东区A区停车场
47,双枪充电-0047号桩,西安邮电大学西区,双枪充电,127.0,1.35,0.43,0,2022-06-04,国家电网,029-6886-0415,406,24234.14,43136.77,34.241901,108.933907,西区宿舍停车场
48,直流快充-0048号桩,西安邮电大学雁塔校区,直流快充,149.0,1.17,0.32,0,2025-07-02,校园能源管理中心,029-9808-4591,516,39979.68,59569.73,34.229202,108.961700,雁塔校区实验楼停车场
49,交流慢充-0049号桩,西安邮电大学东区,交流慢充,9.0,1.26,0.64,1,2021-07-04,云快充,029-5577-6288,2,6.30,11.97,34.241402,108.929604,东区B区停车场
50,双枪充电-0050号桩,西安邮电大学西区,双枪充电,154.0,1.25,0.61,1,2022-10-14,国家电网,029-0115-7365,543,57699.18,107320.48,34.240803,108.933205,西区宿舍停车场
51,双枪充电-0051号桩,西安邮电大学雁塔校区,双枪充电,160.0,1.11,0.47,0,2022-11-11,国家电网,029-6079-3541,14,851.20,1344.90,34.221600,108.958801,雁塔校区南门停车场
52,双枪充电-0052号桩,西安邮电大学东区,双枪充电,122.0,0.82,0.55,0,2022-09-26,国家电网,029-4189-6564,46,2637.64,3613.57,34.239201,108.932503,东区图书馆停车场
53,直流快充-0053号桩,西安邮电大学西区,直流快充,93.0,1.14,0.63,0,2025-06-04,特来电,029-2863-7464,522,30098.52,53274.38,34.233501,108.933006,西区1号停车场
54,交流慢充-0054号桩,西安邮电大学雁塔校区,交流慢充,8.0,1.09,0.31,0,2025-06-20,特来电,029-4005-1492,400,1312.00,1836.80,34.220303,108.962204,雁塔校区地下停车场
55,交流慢充-0055号桩,西安邮电大学东区,交流慢充,18.0,1.12,0.57,0,2023-04-01,云快充,029-0945-6910,325,2398.50,4053.47,34.233902,108.933403,东区体育场停车场
56,直流快充-0056号桩,西安邮电大学西区,直流快充,73.0,0.87,0.30,1,2022-03-21,校园能源管理中心,029-0387-1628,270,12614.40,14758.85,34.236401,108.928505,西区1号停车场
57,直流快充-0057号桩,西安邮电大学雁塔校区,直流快充,163.0,0.95,0.69,0,2023-01-12,云快充,029-5885-6450,351,42337.62,69433.70,34.222900,108.957405,雁塔校区地下停车场
58,双枪充电-0058号桩,西安邮电大学东区,双枪充电,184.0,1.18,0.33,0,2022-02-04,云快充,029-6400-5557,543,75933.12,114659.02,34.237602,108.930603,东区图书馆停车场
59,交流慢充-0059号桩,西安邮电大学西区,交流慢充,13.0,1.37,0.51,0,2024-05-18,特来电,029-2092-6986,385,2502.50,4704.70,34.236401,108.925507,西区行政楼停车场
60,双枪充电-0060号桩,西安邮电大学雁塔校区,双枪充电,176.0,1.16,0.51,1,2025-05-15,校园能源管理中心,029-3955-4806,132,7898.88,13191.13,34.221901,108.960205,雁塔校区北门停车场
61,直流快充-0061号桩,西安邮电大学东区,直流快充,167.0,1.33,0.59,0,2022-04-03,国家电网,029-6213-2366,499,31666.54,60799.75,34.235901,108.935104,东区B区停车场
62,交流慢充-0062号桩,西安邮电大学西区,交流慢充,16.0,0.88,0.35,0,2022-03-04,特来电,029-1044-2776,540,4579.20,5632.42,34.239201,108.926407,西区行政楼停车场
63,双枪充电-0063号桩,西安邮电大学雁塔校区,双枪充电,230.0,1.54,0.52,0,2025-02-07,云快充,029-6513-3847,260,29900.00,61594.00,34.229401,108.962601,雁塔校区实验楼停车场
64,交流慢充-0064号桩,西安邮电大学东区,交流慢充,22.0,0.89,0.48,0,2023-08-24,校园能源管理中心,029-7900-3042,560,9609.60,13165.15,34.234402,108.927200,东区A区停车场
65,直流快充-0065号桩,西安邮电大学西区,直流快充,97.0,1.30,0.47,0,2023-08-13,云快充,029-9030-9021,589,27423.84,48540.20,34.237701,108.931503,西区宿舍停车场
66,直流快充-0066号桩,西安邮电大学雁塔校区,直流快充,91.0,0.81,0.43,0,2021-03-19,国家电网,029-3602-1053,144,10352.16,12836.68,34.223602,108.957603,雁塔校区实验楼停车场
67,直流快充-0067号桩,西安邮电大学东区,直流快充,152.0,0.84,0.69,0,2022-12-11,国家电网,029-0350-1191,198,19863.36,30390.94,34.233303,108.931404,东区体育场停车场
68,直流快充-0068号桩,西安邮电大学西区,直流快充,135.0,1.51,0.68,0,2024-02-09,星星充电,029-7774-6896,499,29640.60,64912.91,34.234402,108.928604,西区2号停车场
69,直流快充-0069号桩,西安邮电大学雁塔校区,直流快充,83.0,0.88,0.59,0,2025-03-11,国家电网,029-0369-8302,526,15716.88,23103.81,34.226002,108.961601,雁塔校区实验楼停车场
70,交流慢充-0070号桩,西安邮电大学东区,交流慢充,12.0,1.31,0.51,1,2024-08-22,特来电,029-3352-0836,258,990.72,1803.11,34.233704,108.931305,东区行政楼停车场
71,双枪充电-0071号桩,西安邮电大学西区,双枪充电,182.0,0.86,0.52,0,2022-06-02,特来电,029-5061-4633,397,49132.72,67803.15,34.240700,108.931305,西区宿舍停车场
72,交流慢充-0072号桩,西安邮电大学雁塔校区,交流慢充,16.0,1.57,0.64,0,2023-09-13,国家电网,029-3817-7777,508,2926.08,6466.64,34.221703,108.959702,雁塔校区北门停车场
73,双枪充电-0073号桩,西安邮电大学东区,双枪充电,224.0,1.18,0.47,0,2023-08-20,国家电网,029-0948-5713,532,39325.44,64886.98,34.235104,108.929504,东区B区停车场
74,交流慢充-0074号桩,西安邮电大学西区,交流慢充,7.0,0.93,0.66,0,2022-05-03,校园能源管理中心,029-3192-7262,266,1061.34,1687.53,34.234203,108.924202,西区行政楼停车场
75,直流快充-0075号桩,西安邮电大学雁塔校区,直流快充,105.0,0.80,0.43,0,2025-08-24,校园能源管理中心,029-9558-7869,139,9340.80,11489.18,34.223400,108.958099,雁塔校区地下停车场
76,直流快充-0076号桩,西安邮电大学东区,直流快充,146.0,1.23,0.66,0,2021-09-16,校园能源管理中心,029-1582-9012,500,28470.00,53808.30,34.242603,108.928505,东区图书馆停车场
77,双枪充电-0077号桩,西安邮电大学西区,双枪充电,146.0,1.24,0.49,0,2021-08-16,国家电网,029-4033-5910,417,42617.40,73728.10,34.239002,108.928902,西区行政楼停车场
78,交流慢充-0078号桩,西安邮电大学雁塔校区,交流慢充,14.0,1.59,0.48,1,2022-07-28,云快充,029-2401-9082,105,1131.90,2343.03,34.225403,108.962303,雁塔校区实验楼停车场
79,交流慢充-0079号桩,西安邮电大学东区,交流慢充,9.0,0.98,0.41,0,2022-11-14,特来电,029-5295-0980,455,3071.25,4269.04,34.237003,108.930199,东区B区停车场
80,直流快充-0080号桩,西安邮电大学西区,直流快充,66.0,0.97,0.60,0,2023-12-15,特来电,029-4075-2009,65,1630.20,2559.41,34.243103,108.925606,西区1号停车场
81,直流快充-0081号桩,西安邮电大学雁塔校区,直流快充,103.0,1.38,0.35,0,2025-08-19,国家电网,029-0343-9934,268,16286.36,28175.41,34.226501,108.956406,雁塔校区北门停车场
82,直流快充-0082号桩,西安邮电大学东区,直流快充,177.0,1.22,0.54,1,2021-12-12,校园能源管理中心,029-1108-8664,357,22748.04,40036.55,34.238403,108.927803,东区体育场停车场
83,直流快充-0083号桩,西安邮电大学西区,直流快充,160.0,1.09,0.38,0,2024-09-23,特来电,029-8418-3196,393,24523.20,36049.11,34.238903,108.928703,西区宿舍停车场
84,双枪充电-0084号桩,西安邮电大学雁塔校区,双枪充电,239.0,1.44,0.61,2,2024-08-08,国家电网,029-6850-7328,549,64293.39,131801.47,34.224400,108.954903,雁塔校区地下停车场
85,直流快充-0085号桩,西安邮电大学东区,直流快充,130.0,1.13,0.44,0,2021-01-02,星星充电,029-3143-6904,126,8190.00,12858.30,34.234100,108.928001,东区图书馆停车场
86,直流快充-0086号桩,西安邮电大学西区,直流快充,84.0,1.08,0.35,0,2022-10-12,云快充,029-4127-9224,496,25831.68,36939.30,34.243000,108.925705,西区宿舍停车场
87,双枪充电-0087号桩,西安邮电大学雁塔校区,双枪充电,124.0,1.59,0.43,2,2022-12-15,云快充,029-5918-1831,386,22496.08,45442.09,34.226002,108.954506,雁塔校区学生服务中心
88,双枪充电-0088号桩,西安邮电大学东区,双枪充电,163.0,1.51,0.38,0,2023-04-01,云快充,029-7379-1913,247,23351.38,44134.11,34.241501,108.935799,东区体育场停车场
89,直流快充-0089号桩,西安邮电大学西区,直流快充,134.0,0.80,0.60,2,2024-10-11,星星充电,029-3151-7860,213,16268.94,22776.52,34.240402,108.928802,西区2号停车场
90,交流慢充-0090号桩,西安邮电大学雁塔校区,交流慢充,21.0,1.19,0.39,0,2022-04-18,星星充电,029-8820-5899,505,3287.55,5194.33,34.221100,108.963600,雁塔校区学生服务中心
91,交流慢充-0091号桩,西安邮电大学东区,交流慢充,15.0,1.22,0.55,2,2024-03-15,云快充,029-5635-0581,312,2527.20,4473.14,34.238903,108.930801,东区B区停车场
92,直流快充-0092号桩,西安邮电大学西区,直流快充,137.0,1.02,0.45,2,2023-12-14,星星充电,029-6748-3557,135,12576.60,18487.60,34.238403,108.927505,西区1号停车场
93,直流快充-0093号桩,西安邮电大学雁塔校区,直流快充,172.0,1.03,0.36,0,2021-08-04,国家电网,029-9169-7458,571,39284.80,54605.87,34.222801,108.960503,雁塔校区实验楼停车场
94,直流快充-0094号桩,西安邮电大学东区,直流快充,70.0,0.91,0.58,0,2021-03-20,国家电网,029-7235-4672,321,8089.20,12052.91,34.242203,108.928902,东区图书馆停车场
95,交流慢充-0095号桩,西安邮电大学西区,交流慢充,17.0,1.10,0.58,0,2025-03-05,云快充,029-0098-7828,5,27.20,45.70,34.243301,108.933907,西区2号停车场
